826780:99999,FLORIANO,BZ,,,-6.767,-43.017,138
25740:99999,SMHI,SN,,,58.583,16.149,32
94880:99999,DRESDEN/KLOTZSCHE,DD,,,51.133,13.767,230
255030:99999,KORKODON RIVER,RA,,,64.717,154.083,101
783330:99999,PLAYA GIRON,CU,,,22.067,-81.033,2
387250:99999,DEHAUZ,RA,,,39.433,69.95,2564
150070:99999,RADAUTI,RO,,,47.85,25.917,392
862480:99999,CIUDAD DEL ESTE,PY,,,-25.533,-54.6,196
471440:99999,KUNSAN RADAR,KO,,,36.017,126.783,215
718003:99999,KELLIGREWS,CN,,,47.5,-53.017,3
582590:99999,NANTONG/JINSHA,CI,,,32.1,120.867,1
943130:99999,WITTENOOM,AU,,,-22.233,118.333,464
221190:99999,PULOZERO (LAKE),RS,,,68.317,33.333,144
741290:99999,KINDERSLEY ARPT   &,CN,,,51.467,-109.167,683
376210:99999,BOLNISI,RS,,,41.45,44.55,534
687150:99999,MALMEBURY,ZA,,,-33.467,18.717,102
125950:99999,ZAMOSC,PL,,,50.7,23.25,213
95970:99999,BOGUS GERMAN,DD,,,0,0,0
683700:99999,BETHAL,ZA,,,-26.45,29.483,1639
308790:99999,NERCINSKIJ ZAVOD,RA,,,51.317,119.617,619
789043:99999,BOGUS DOMINICAN,DO,,,0,0,0
876730:99999,PUELCHES,AG,,,-38.133,-65.917,231
450320:99999,LAU FAU SHAN (AUT),HK,,,22.467,113.983,35
110220:99999,RETZ,OS,,,48.767,15.95,262
201990:99999,MALYY TAYMIR ISLAND,RA,,,78.133,106.667,12
155050:99999,VRATZA,BU,,,43.2,23.533,310
572970:99999,XINYANG,CI,,,32.133,114.05,115
14120:99999,OBRESTAD (LGT-H),NO,,,58.65,5.567,24
39090:99999,MONEYDIG,UK,,,54.983,-6.6,34
888880:99999,DARWIN,FK,,,-51.817,-58.967,4
335930:99999,ROTMISTROVKA,UR,,,49.133,31.7,168
360960:99999,KYZYL,RA,,,51.7,94.45,629
433820:99999,NANCOWRY,IN,,,7.983,93.533,23
823970:99999,FORTALEZA,BZ,,,-3.733,-38.55,19
311020:99999,KANKUNSKIY,RA,,,57.633,126.1,1218
427050:99999,PURULIA,IN,,,23.333,86.417,254
527020:99999,SHA-LIANG-ZI,CI,,,37.917,93.35,0
941400:99999,MILINGIMBI AWS AUT,AU,,,-12.117,134.9,16
170420:99999,HOPA,TU,,,41.4,41.433,33
113100:99999,ISCHGL/IDALDE (AUT),OS,,,46.983,10.317,2323
712025:99999,WEST VAN CYPRESS,CN,,,49.35,-123.183,161
386160:99999,KARA SUU,RA,,,40.7,72.9,868
952950:99999,AYR DPI RES. ST.,AU,,,-19.617,147.383,12
409300:99999,NORTH-SALANG TUNNEL,AH,,,35.317,69.017,3366
558210:99999,BOGUS CHINESE,CI,,,0,0,0
301650:99999,SVETLI,RA,,,58.567,116,422
432750:99999,TIRUPATHI,IN,,,13.667,79.583,105
332970:99999,BRODY,UR,,,50.1,25.15,227
341860:99999,ERSOV,RS,,,51.333,48.35,106
42070:99999,HALL LAND (AUT),GL,,,81.733,-59,105
133700:99999,POZEGA UZICKA,YG,,,43.833,20.033,312
476320:99999,GIFU,JP,,,35.4,136.767,17
376750:99999,GUBA,RS,,,41.367,48.517,550
318780:99999,KIROVSKIJ,RA,,,45.1,133.5,95
847750:99999,PUNTA COLES,PR,,,-17.7,-71.383,0
275390:99999,GUS-HRUSTALNYJ,RS,,,55.617,40.65,135
584560:99999,HUANG WAN,CI,,,30.367,120.8,0
484570:99999,BANGKOK PILOT,TH,,,13.383,100.6,15
561470:99999,CHUN-LUO-SI,CI,,,31.117,98.683,0
202770:99999,ISACHENKO ISLAND,RA,,,77.283,89.667,10
31430:99999,KILLIN,UK,,,56.483,-4.35,114
151790:99999,SIRIA,RO,,,46.267,21.667,473
32930:99999,COWDEN,UK,,,53.85,-0.1,0
360120:99999,SHCHERBAKTY,RA,,,52.35,78.333,149
351480:99999,PSKOVSKIY,RA,,,50.933,61.667,248
433140:99999,KOZHIKODE,IN,,,11.25,75.783,5
37860:99999,GRAVESEND,UK,,,51.433,0.383,13
287190:99999,AKSAKOVO,RA,,,54.033,54.183,348
821430:99999,SALINOPOLIS,BZ,,,-0.617,-47.383,14
354360:99999,JURUN-IN-KAZAKH,RA,,,49.233,57.667,234
361770:99999,SEMIPALATINSK,RA,,,50.35,80.25,196
75500:99999,AURILLAC CITY,FR,,,44.9,2.417,644
898670:99999,NAVY OPERATED(AMOS),AY,,,-77.5,167.15,3700
386870:99999,CARDZOU,RA,,,39.083,63.6,193
837660:99999,LONDRINA,BZ,,,-23.383,-51.183,566
122620:99999,BOGUS POLISH,PL,,,0,0,0
471275:99999,MANGILSAN (KOR-AFB),KO,,,36.933,126.45,302
319460:99999,PEREVALNAYA,RA,,,44.333,135.067,595
11680:99999,KLEIVA I SORTLAND,NO,,,68.65,15.283,23
947700:99999,NORAH HEAD (LGT-H),AU,,,-33.283,151.567,24
681850:99999,LYDENBURG,ZA,,,-25.083,30.467,1434
588340:99999,NANPING,CI,,,26.65,118.167,128
946570:99999,KYANCUTTA,AU,,,-33.117,135.55,61
718753:99999,PINCHER CREEK (AUT),CN,,,49.5,-113.95,1154
832140:99999,MATUPA,BZ,,,-10.25,-54.917,285
32050:99999,CALF OF MAN (AUX),UK,,,54.05,-4.833,93
728870:99999,KAMLOOPS AIRPORT,CN,,,50.7,-120.45,346
432830:99999,MANGALORE,IN,,,12.867,74.85,22
322460:99999,OSSORA-IN-KAMCHAT,RA,,,59.233,163.067,3
153100:99999,GALATI,RO,,,45.5,28.017,72
879280:99999,CABO VIRGENES (LH),AG,,,-52.333,-68.35,42
31570:99999,PERTH/SCONE,UK,,,56.433,-3.367,121
371780:99999,PICUNDA,RS,,,43.2,40.35,4
105350:99999,WAHLEN (AUT),DL,,,50.817,9.133,320
362490:99999,KOTASEVO,RA,,,50.317,87.583,1309
60050:99999,MYKINES,DN,,,62.1,-7.683,100
208640:99999,TAMBEY,RA,,,71.483,71.817,8
278480:99999,MORSANSK,RS,,,53.45,41.8,144
291280:99999,PARABEL',RA,,,58.7,81.5,63
71040:99999,BOGUS FRENCH,FR,,,0,0,0
389740:99999,SERAHS,RA,,,36.533,61.217,279
11010:99999,BOGUS NORWEGIAN,NO,,,0,0,0
152350:99999,FAGARAS,RO,,,45.85,24.983,429
94800:99999,OSCHATZ,DD,,,51.3,13.117,152
26140:99999,OSKARSGRUNDET,SN,,,55.6,12.85,10
948120:99999,ROBE P. O.,AU,,,-37.167,139.75,4
719564:99999,NICHOLSON PENINSUL&,CN,,,69.9,-128.967,98
833770:99999,BRASILIA,BZ,,,-15.783,-47.933,1158
286750:99999,BOGUS SOVIET,RA,,,0,0,0
39080:99999,BALLY KELLY,UK,,,55.067,-7.017,2
641620:99999,LUBUTU,ZR,,,-0.75,26.567,762
728410:99999,ARMSTRONG (MARS),CN,,,50.283,-88.9,322
477410:99999,MATSUE,JP,,,35.45,133.067,22
620550:99999,AGEDABIA,LY,,,30.717,20.167,7
20930:99999,VAXJO             &,SN,,,56.867,14.8,166
83550:99999,BOGUS SPANISH,SP,,,0,0,0
662600:99999,SUMBE,AN,,,-11.2,13.85,0
372120:99999,NAL'CIK,RS,,,43.5,43.617,441
316320:99999,KUR,RA,,,49.933,134.633,266
586540:99999,JIN-YUN,CI,,,28.65,120.05,0
999999:68601,BEARDMORE CAMP,AY,,,-85.033,-164.667,230.1
478970:99999,SUKOMO,JP,,,32.917,132.7,11
253560:99999,MUHOMORNOJE,RA,,,66.383,173.35,74
898790:99999,POSSESSION ISLAND,AY,,,-71.933,171.133,30
77200:99999,PIC DU MIDI,FR,,,42.933,0.15,2883
241050:99999,ESSEJ,RA,,,68.467,102.367,271
294180:99999,SEVERNOE,RA,,,56.35,78.35,126
620560:99999,SHAHAT,LY,,,32.817,21.85,625
336140:99999,SVITLOVODS`K,UR,,,49.05,33.25,84
14960:99999,HOLANDFOSSER,NO,,,59.8,11.467,135
106150:99999,DEUSELBACH,DL,,,49.767,7.05,479
121580:99999,BOGUS POLISH,PL,,,0,0,0
154910:99999,GIURGIU,RO,,,43.867,25.95,24
873870:99999,SAUCE,AG,,,-30.083,-58.767,67
590960:99999,LIANPING,CI,,,24.367,114.483,214
30640:99999,GLENMORE LODGE,UK,,,57.167,-3.7,341
252480:99999,ILIRNEJ,RA,,,67.25,167.967,356
344380:99999,MILLEROVO,RS,,,48.933,40.383,153
546530:99999,BOGUS CHINESE,CI,,,38.833,120.833,0
598580:99999,BOGUS CHINESE,CI,,,0,0,0
150150:99999,OCNA SUGATAG,RO,,,47.783,23.933,504
890630:99999,FARADAY (ARG ISL),AY,,,-65.25,-64.266,11
352330:99999,DOMBAROVSKIY,RA,,,50.767,59.533,287
380020:99999,TUSCIKUDUK,RA,,,44.733,51.967,56
538660:99999,BOGUS CHINESE,CI,,,36.567,111.75,0
572320:99999,HAN-YIN,CI,,,32.9,108.517,457
489020:99999,BARIA (PHUOC LE),VS,,,10.5,107.167,15
124050:99999,ZGORZELEC,PL,,,51.133,15.033,203
70220:99999,VIGITE DU HAUMET,FR,,,49.65,-1.5,130
239660:99999,VANZIL`-KYNAK,RA,,,60.35,84.083,99
42660:99999,NUNARSUIT,GL,,,60.767,-48.417,33
564750:99999,YUEXE,CI,,,28.617,102.6,1736
286680:99999,POLOVINNOE,RA,,,54.767,66,152
741820:99999,CHURCHILL FALLS,CN,,,53.55,-64.1,440
605170:99999,GHAZAOUET,AL,,,35.1,-1.867,83
948450:99999,ELLIMINYT,AU,,,-38.383,143.6,248
936780:99999,KAIKOURA,NZ,,,-42.417,173.7,101
152700:99999,LUGOJ,RO,,,45.683,21.917,125
576590:99999,APPROXIMATE LOCALE,CI,,,28.167,110.967,0
728910:99999,LYTTON (READAC),CN,,,50.233,-121.583,255
942200:99999,TIMBER CREEK,AU,,,-15.667,130.467,18
